               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043841,            0.057237,           0.0078322,             0.65268,             0.52374,             0.57226,             0.31601,            0.046302,            0.044521,           0.0080966,            0.070136,           0.0033183,           0.0033183
                   1,            0.045194,            0.057393,           0.0080445,             0.64436,             0.50323,             0.54543,             0.30093,            0.047142,            0.045711,           0.0087729,             0.04007,           0.0065857,           0.0065857
                   2,            0.046976,            0.059595,           0.0088639,             0.59744,             0.41293,             0.43472,             0.23997,            0.050624,            0.049982,            0.015022,            0.009938,           0.0097872,           0.0097872
                   3,            0.048493,            0.063275,            0.010777,             0.56864,             0.42374,             0.44959,             0.24475,            0.050918,            0.051026,             0.01241,            0.009703,            0.009703,            0.009703
                   4,            0.048267,            0.063618,            0.010621,             0.59205,             0.43258,             0.46642,              0.2631,            0.049233,            0.049293,            0.011476,            0.009703,            0.009703,            0.009703
                   5,            0.047947,             0.06273,            0.010449,             0.58777,             0.44867,             0.47846,             0.26853,            0.048866,             0.04867,            0.011868,            0.009604,            0.009604,            0.009604
                   6,            0.047288,            0.062504,            0.010222,             0.61928,             0.45377,             0.49434,             0.28047,            0.047599,            0.047681,            0.011275,            0.009505,            0.009505,            0.009505
                   7,            0.047247,            0.062328,             0.01026,             0.63416,             0.46327,             0.50677,             0.29288,            0.047342,            0.047688,            0.011197,            0.009406,            0.009406,            0.009406
                   8,            0.046933,            0.062405,           0.0099051,             0.61877,             0.44665,             0.48532,             0.28146,            0.047343,            0.048351,            0.011213,            0.009307,            0.009307,            0.009307
                   9,            0.046867,            0.061962,            0.009762,             0.62919,             0.47602,             0.50663,             0.29881,            0.046488,            0.046995,            0.010628,            0.009208,            0.009208,            0.009208
                  10,            0.046837,            0.061692,            0.009826,             0.61677,             0.47327,             0.52008,             0.30852,            0.046428,            0.046652,            0.010902,            0.009109,            0.009109,            0.009109
                  11,            0.046411,             0.06194,           0.0095681,             0.63051,             0.44833,             0.50055,             0.29045,            0.046668,            0.048252,            0.010795,             0.00901,             0.00901,             0.00901
                  12,            0.046115,            0.061531,           0.0094414,             0.61958,             0.49451,             0.53124,             0.31761,            0.045652,             0.04628,            0.010076,            0.008911,            0.008911,            0.008911
                  13,            0.046001,            0.061408,           0.0093395,             0.64381,             0.48193,             0.52619,             0.31808,            0.045132,            0.046166,           0.0095742,            0.008812,            0.008812,            0.008812
                  14,             0.04586,            0.061227,            0.009088,             0.60628,             0.49137,             0.52718,              0.3141,            0.045582,            0.046865,           0.0096256,            0.008713,            0.008713,            0.008713
                  15,            0.045799,            0.060416,           0.0091239,              0.6253,             0.48771,             0.52671,             0.31731,            0.045365,            0.046788,           0.0094621,            0.008614,            0.008614,            0.008614
                  16,            0.045479,            0.060814,           0.0089567,             0.64002,             0.48276,             0.53406,             0.31905,            0.045348,             0.04708,            0.009961,            0.008515,            0.008515,            0.008515
                  17,             0.04536,            0.060894,           0.0089825,             0.64678,             0.49686,              0.5431,             0.32672,            0.044674,             0.04604,           0.0092005,            0.008416,            0.008416,            0.008416
                  18,            0.044948,            0.059652,           0.0087724,             0.64961,             0.48635,             0.54163,             0.32699,            0.044864,             0.04628,           0.0095398,            0.008317,            0.008317,            0.008317
                  19,            0.044969,            0.059807,           0.0086551,              0.6148,             0.50443,             0.54109,             0.32751,            0.044846,            0.046637,           0.0088175,            0.008218,            0.008218,            0.008218
                  20,            0.044708,               0.059,           0.0085821,             0.64204,              0.4978,             0.54884,             0.33248,            0.044778,            0.046231,           0.0095267,            0.008119,            0.008119,            0.008119
                  21,            0.044784,             0.05976,           0.0084112,             0.64493,             0.48469,             0.53236,             0.32349,             0.04469,             0.04704,           0.0097871,             0.00802,             0.00802,             0.00802
                  22,            0.044612,            0.059241,           0.0083787,             0.63506,              0.5051,              0.5473,             0.33325,            0.044387,            0.045851,           0.0091408,            0.007921,            0.007921,            0.007921
